n,d,adversary,estimator,epsilon,loss,loss_stddev,loss/epsilon,loss_reg1,loss_reg2
9999,5,SwapAdversary,Base,0.05,0.23359669529947252,0.0,4.67193390598945,2.0893523600357042,2.699262934199484
2499,5,SwapAdversary,Base,0.1,0.4389961345317571,0.0,4.3899613453175705,1.9632503973453033,2.893029431401006
19999,10,SwapAdversary,Base,0.05,0.3279763895186725,0.0,6.5595277903734495,2.0743048192751607,3.789841762895538
4999,10,SwapAdversary,Base,0.1,0.649774892907441,0.0,6.497748929074409,2.054768627979501,4.282083009618566
29999,15,SwapAdversary,Base,0.05,0.39141774717946143,0.0,7.828354943589228,2.0212725549814388,4.5229210772647885
7499,15,SwapAdversary,Base,0.1,0.7673052560979646,0.0,7.673052560979646,1.981173652216556,5.056620125204119
39999,20,SwapAdversary,Base,0.05,0.44577773892122685,0.0,8.915554778424536,1.9935786541680338,5.151063143332231
9999,20,SwapAdversary,Base,0.1,0.9091066545460369,0.0,9.091066545460368,2.0328242783623565,5.991105845816808
49999,25,SwapAdversary,Base,0.05,0.4943670709574112,0.0,9.887341419148225,1.977468283829645,5.712523924250566
12499,25,SwapAdversary,Base,0.1,0.9891532464590395,0.0,9.891532464590394,1.978306492918079,6.518621074475182
9999,5,SwapAdversary,Median,0.05,0.04667048200879262,0.0,0.9334096401758524,0.4174334812573649,0.5392880325042948
2499,5,SwapAdversary,Median,0.1,0.12460369407977814,0.0,1.2460369407977814,0.557244660419944,0.8211510896755015
19999,10,SwapAdversary,Median,0.05,0.10067005753838437,0.0,2.013401150767687,0.6366933480029964,1.16326540728123
4999,10,SwapAdversary,Median,0.1,0.21807417889720898,0.0,2.1807417889720897,0.6896111041862064,1.4371311457016818
29999,15,SwapAdversary,Median,0.05,0.12161097814950429,0.0,2.4322195629900856,0.6279963907853656,1.4052425069193244
7499,15,SwapAdversary,Median,0.1,0.28508146910682386,0.0,2.8508146910682384,0.7360771881087154,1.8787160423468727
39999,20,SwapAdversary,Median,0.05,0.14336241766255403,0.0,2.8672483532510804,0.6411362226243745,1.6565853367816517
9999,20,SwapAdversary,Median,0.1,0.35622824604300185,0.0,3.5622824604300183,0.7965505736576726,2.347580579947478
49999,25,SwapAdversary,Median,0.05,0.16895394521248522,0.0,3.3790789042497043,0.6758157808499409,1.9523012571482279
